Name of Licensee (English),Name of Licensee (Chinese),Branch Name (English),Branch Name (Chinese),Address (English only),Address Type (English),Address Type (Chinese),As at (Date)
TEIN SHUN EXCHANGE,天信人民幣找換行,TEIN SHUN EXCHANGE,天信人民幣找換行,,Specified Premises,指明處所,29/11/2023
TELY LIMITED,特里有限公司,,,,Specified Premises,指明處所,29/11/2023
TELY LIMITED,特里有限公司,TELY LIMITED,特里找換,,Specified Premises,指明處所,29/11/2023
THAI GREAT RICH LIMITED,泰富貴有限公司,,,,Specified Premises,指明處所,29/11/2023
THAI GREAT RICH LIMITED,泰富貴有限公司,L&P COMPANY,,,Specified Premises,指明處所,29/11/2023
THAI GREAT RICH LIMITED,泰富貴有限公司,L&P COMPANY,,,Specified Premises,指明處所,29/11/2023
THAI GREAT RICH LIMITED,泰富貴有限公司,L&P COMPANY,,,Specified Premises,指明處所,29/11/2023
THE CORE FX LIMITED,核聚外匯有限公司,,,,Correspondence Address,通訊地址,29/11/2023
THE CORE SECURITIES COMPANY LIMITED,核聚證券有限公司,,,,Correspondence Address,通訊地址,29/11/2023
THE DOLLAR LIMITED,多利事有限公司,,,,Specified Premises,指明處所,29/11/2023
THEN FUI LIE TRADING AS SUKSES,鄧蕙莉,,,,Specified Premises,指明處所,29/11/2023
THUNES HONG KONG LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
TIANMA EXCHANGE LIMITED,天馬找換有限公司,,,,Specified Premises,指明處所,29/11/2023
TIANMA EXCHANGE LIMITED,天馬找換有限公司,TIANMA EXCHANGE LIMITED,天馬找換有限公司,,Specified Premises,指明處所,29/11/2023
TIANMA EXCHANGE LIMITED,天馬找換有限公司,TIANMA EXCHANGE LIMITED,天馬找換有限公司,,Specified Premises,指明處所,29/11/2023
TIANMA EXCHANGE LIMITED,天馬找換有限公司,KAM FUNG EXCHANGE CO.,金豐找換行,,Specified Premises,指明處所,29/11/2023
TJENG LIE LIE TRADING AS TOKO INDO JAYA,鄭麗麗 營業名稱 印尼商店,,,,Specified Premises,指明處所,29/11/2023
TJHANG NAM SONG TRADING AS WARUNG MAKMUR,鄭南嫦 營業名稱 富榮,WARUNG MAKMUR,,,Specified Premises,指明處所,29/11/2023
TJHANG NAM SONG TRADING AS WARUNG MAKMUR,鄭南嫦 營業名稱 富榮,TOKO SUKSES,,,Specified Premises,指明處所,29/11/2023
TOKO ANEKA,成銘店,,,,Specified Premises,指明處所,29/11/2023
TOMEX BIZ LIMITED,同得匯業有限公司,,,,Specified Premises,指明處所,29/11/2023
TONG YUET SIM TRADING AS ASIA FOOD (T-TOWN),湯月嬋,,,,Specified Premises,指明處所,29/11/2023
TONY FOREIGN EXCHANGE CO LIMITED,通利外幣找換有限公司,,,,Specified Premises,指明處所,29/11/2023
TOYO GLOBAL INVESTMENT LIMITED,東洋環球投資有限公司,,,,Specified Premises,指明處所,29/11/2023
TRADE BEST EXCHANGE LIMITED TRADING AS TRADE BEST EXCHANGE,佳兌找換匯款有限公司 營業名稱 佳兌找換匯款,TRADE BEST EXCHANGE,佳兌找換匯款,,Specified Premises,指明處所,29/11/2023
TRANSACT WORLDWIDE LIMITED,傳錢環球有限公司,,,,Correspondence Address,通訊地址,29/11/2023
TRANSEND LIMITED TRADING AS TRANSEND LIMITED,,TRANSEND LIMITED,,,Specified Premises,指明處所,29/11/2023
TRANSFERCLEAR (HK) LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
TRANSFERMATE HK LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
TRANSTONE GLOBAL LIMITED,中誠匯通有限公司,,,,Correspondence Address,通訊地址,29/11/2023
TRANSWAP LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
TRANSWORLD FINTECH LIMITED,環球通金融科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
TRAVEL TAO LIMITED,雲游道有限公司,,,,Correspondence Address,通訊地址,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,,,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX  WORLDWIDE MONEY,通濟隆環球貨幣,,Specified Premises,指明處所,29/11/2023
TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,TRAVELEX CURRENCY EXCHANGE LIMITED,通濟隆外幣找換有限公司,,Specified Premises,指明處所,29/11/2023
TREASURE CURRENCY EXCHANGE COMPANY LIMITED,財利找換有限公司,TREASURE CURRENCY EXCHANGE COMPANY,財利找換匯款公司,,Specified Premises,指明處所,29/11/2023
TREASURE CURRENCY EXCHANGE COMPANY LIMITED,財利找換有限公司,TREASURE CURRENCY EXCHANGE COMPANY,財利找換匯款公司,,Specified Premises,指明處所,29/11/2023
TRILLION DEVELOPMENT (HONG KONG) LIMITED TRADING AS TRILLION MONEY EXCHANGE,兆億發展(香港)有限公司 營業名稱 兆億外幣兌換,TRILLION MONEY EXCHANGE,兆億外幣兌換,,Specified Premises,指明處所,29/11/2023
"TRIPLINK SOLUTIONS CO., LIMITED",,,,,Correspondence Address,通訊地址,29/11/2023
TRUSTWORTHY GLOBAL LIMITED,卓滙環球兌換有限公司,,,,Specified Premises,指明處所,29/11/2023
TRUSTWORTHY GLOBAL LIMITED,卓滙環球兌換有限公司,TRUSTWORTHY GLOBAL,卓滙環球兌換,,Specified Premises,指明處所,29/11/2023
TSE KWOK SAN TRADING AS FU SAN TO KO INDONESIA,謝國新 營業名稱 富新東南亞雜貨,,,,Specified Premises,指明處所,29/11/2023
TSE MUI HEUNG TRADING AS CHONG HUI RENMINBI EXCHANGE COMPANY,謝妙香 營業名稱 創滙人民幣找換行,,,,Specified Premises,指明處所,29/11/2023
TSE SHUI WAN TRADING AS CENTRAL DOLLAR EXCHANGE,謝瑞雲 營業名稱 中圓人民幣找換店,,,,Specified Premises,指明處所,29/11/2023
TSEUNG YIK FONG TRADING AS HUI YI MONEY EXCHANGE,蔣益芳 營業名稱 滙溢人民幣找換店,,,,Specified Premises,指明處所,29/11/2023
TSOI LAI PING TRADING AS LIAN FA TRADING CO.,蔡麗萍 營業名稱 聯發貿易公司,,,,Specified Premises,指明處所,29/11/2023
TSOI LAI PING TRADING AS LIAN FA TRADING CO.,蔡麗萍 營業名稱 聯發貿易公司,LIANFA REMITTANCE CO,聯發滙款公司,,Specified Premises,指明處所,29/11/2023
TU YIU LUNG TRADING AS KINGDOM EXCHANGE,涂耀龍 營業名稱 國金找換店,,,,Specified Premises,指明處所,29/11/2023
TU YIU LUNG TRADING AS KINGDOM EXCHANGE,涂耀龍 營業名稱 國金找換店,KINGDOM EXCHANGE,國金找換店,,Specified Premises,指明處所,29/11/2023
TU YIU LUNG TRADING AS KINGDOM EXCHANGE,涂耀龍 營業名稱 國金找換店,KINGDOM EXCHANGE,國金找換店,,Specified Premises,指明處所,29/11/2023
UK EXCHANGE CO. LIMITED,,,,,Specified Premises,指明處所,29/11/2023
UMPIRE INTERNATIONAL HOLDING LIMITED,安派國際控股有限公司,,,,Correspondence Address,通訊地址,29/11/2023
UNI FOREX LIMITED TRADING AS UNIFOREX,,UNIFOREX,,,Specified Premises,指明處所,29/11/2023
UNION GOLDENPAY (HK) LIMITED,金聯支付(香港)有限公司,,,,Correspondence Address,通訊地址,29/11/2023
UNIQUE TECHNOLOGY SERVICE INTERNATIONAL LIMITED,獨見科技服務國際有限公司,,,,Correspondence Address,通訊地址,29/11/2023
UNISON FOREIGN EXCHANGE LIMITED TRADING AS UNISON FOREIGN EXCHANGE,裕新找換有限公司 營業名稱 裕新兌換店,UNISON FOREIGN EXCHANGE,裕新兌換店,,Specified Premises,指明處所,29/11/2023
UNISON FOREIGN EXCHANGE LIMITED TRADING AS UNISON FOREIGN EXCHANGE,裕新找換有限公司 營業名稱 裕新兌換店,UNISON FOREIGN EXCHANGE LIMITED,裕新找換有限公司,,Specified Premises,指明處所,29/11/2023
UNISON FOREIGN EXCHANGE LIMITED TRADING AS UNISON FOREIGN EXCHANGE,裕新找換有限公司 營業名稱 裕新兌換店,UNISON FOREIGN EXCHANGE,裕新兌換店,,Specified Premises,指明處所,29/11/2023
UNITECH FX LIMITED,聯達找換有限公司,,,,Correspondence Address,通訊地址,29/11/2023
UNITED ELECTRONIC TRADING COMPANY LIMITED,合眾電子貿易有限公司,,,,Correspondence Address,通訊地址,29/11/2023
UNITED EXCHANGE LIMITED,,,,,Specified Premises,指明處所,29/11/2023
UNIVERSAL EXCHANGE CENTRE LIMITED,,,,,Specified Premises,指明處所,29/11/2023
UNIVERSAL EXPRESS SERVICES LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
UP UP LIMITED,上上有限公司,UP UP LIMITED,上上有限公司,,Specified Premises,指明處所,29/11/2023
UREMIT INTERNATIONAL LIMITED,,,,,Specified Premises,指明處所,29/11/2023
USEEPAY LIMITED,香港海泰付科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
V PLUS GREATER BAY EXCHANGE LIMITED,贏家大灣區找換易有限公司,V PLUS GREATER BAY EXCHANGE LIMITED,贏家大灣區找換易有限公司,,Specified Premises,指明處所,29/11/2023
V-UNITED FOREX LIMITED,,V-UNITED FOREX LIMITED,,,Specified Premises,指明處所,29/11/2023
VCAN FINTECH LIMITED,滙創網融科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
VERDE FINTECH LIMITED,威得金融科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
VIPAN-KUMAR TRADING AS TRADEWAVES,,,,,Specified Premises,指明處所,29/11/2023
W K INTL LIMITED TRADING AS KONG WUI MONEY EXCHANGE COMPANY,泓泇國際有限公司 營業名稱 港匯找換匯款公司,KONG WUI MONEY EXCHANGE COMPANY,港匯找換匯款公司,,Specified Premises,指明處所,29/11/2023
WAH HING EXCHANGE REMITTANCE COMPANY LIMITED TRADING AS WAH HING EXCHANGE REMITTANCE,華興找換匯款有限公司 營業名稱 華興找換匯款,,華興找換匯款,,Specified Premises,指明處所,29/11/2023
WAH KEUNG INVESTMENT TRADING LIMITED TRADING AS CHUNG YING REMINBI EXCHANGE CO.,華強投資貿易有限公司 營業名稱 中英人民幣找換行,CHUNG YING REMINBI EXCHANGE CO.,中英人民幣找換行,,Specified Premises,指明處所,29/11/2023
WAH KEUNG INVESTMENT TRADING LIMITED TRADING AS CHUNG YING REMINBI EXCHANGE CO.,華強投資貿易有限公司 營業名稱 中英人民幣找換行,WAH KEUNG REMITTANCE EXCHANGE,華强匯款找換,,Specified Premises,指明處所,29/11/2023
WAH KEUNG INVESTMENT TRADING LIMITED TRADING AS CHUNG YING REMINBI EXCHANGE CO.,華強投資貿易有限公司 營業名稱 中英人民幣找換行,WAH KEUNG REMITTANCE EXCHANGE,華強匯款找換,,Specified Premises,指明處所,29/11/2023
WAI SHING (HK) INVESTMENT LIMITED TRADING AS GREAT CITY MONEY EXCHANGE,偉盛(香港)投資有限公司 營業名稱 偉城找換,GREAT CITY MONEY EXCHANGE,偉城找換,,Specified Premises,指明處所,29/11/2023
WALLEX TECHNOLOGIES INTERNATIONAL LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
WAN GUO GROUP HOLDING LIMITED,萬國集團控股有限公司,WAN GUO GROUP HOLDING LIMITED,萬國集團控股有限公司,,Specified Premises,指明處所,29/11/2023
WANG TAT INVESTMENT TRADING LIMITED TRADING AS CHUNG YING REMINBI EXCHANGE CO.,宏達投資貿易有限公司 營業名稱 中英人民幣找換行,CHUNG YING REMINBI EXCHANGE CO.,中英人民幣找換行,,Specified Premises,指明處所,29/11/2023
WANG TAT INVESTMENT TRADING LIMITED TRADING AS CHUNG YING REMINBI EXCHANGE CO.,宏達投資貿易有限公司 營業名稱 中英人民幣找換行,WANG TAT REMITTANCE EXCHANGE,宏達匯款找換,,Specified Premises,指明處所,29/11/2023
"WANSHENG YINGTONG FINANCIAL TECHNOLOGY CO., LIMITED",萬盛贏通金融科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
WESTERN UNION ONLINE LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
WEXWORLD HONGKONG LIMITED,微匯天下香港有限公司,,,,Correspondence Address,通訊地址,29/11/2023
WG COMPANY LIMITED,永盛找換公司,,永盛找換公司,,Specified Premises,指明處所,29/11/2023
WG COMPANY LIMITED,永盛找換公司,,永盛找換公司,,Specified Premises,指明處所,29/11/2023
WG COMPANY LIMITED,永盛找換公司,,吉星找換,,Specified Premises,指明處所,29/11/2023
WHALET LIMITED,易鯨科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
"WIN MONEY EXCHANGE CO., LIMITED",詠旺找換有限公司,,,,Specified Premises,指明處所,29/11/2023
"WIN MONEY EXCHANGE CO., LIMITED",詠旺找換有限公司,COME MONEY EXCHANGE AND REMITTANCE COMPANY,德旺找換有限公司,,Specified Premises,指明處所,29/11/2023
WIN WIN EXCHANGE LIMITED,有利兑匯有限公司,,,,Specified Premises,指明處所,29/11/2023
WIN WIN EXCHANGE LIMITED,有利兑匯有限公司,PUBLIC MONEY EXCHANGE,大眾找換,,Specified Premises,指明處所,29/11/2023
WINDPAYER TECHNOLOGY LIMITED,風付科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
WINDSOR PARTNERS LIMITED TRADING AS WINDSOR FIRST,滙信快,,,,Correspondence Address,通訊地址,29/11/2023
WING FU HONG LIMITED,永富行找換有限公司,,,,Specified Premises,指明處所,29/11/2023
WINNER TRADING LIMITED,永豐行貿易有限公司,FOISON EXCHANGE,豐裕兌匯,,Specified Premises,指明處所,29/11/2023
WINNER TRADING LIMITED,永豐行貿易有限公司,FOISON EXCHANGE,豐裕兌匯,,Specified Premises,指明處所,29/11/2023
WINNER TRADING LIMITED,永豐行貿易有限公司,PROSPERITY MONEY CHANGER,行順人民幣找換,,Specified Premises,指明處所,29/11/2023
WINNER TRADING LIMITED,永豐行貿易有限公司,,豐裕外幣專門店,,Specified Premises,指明處所,29/11/2023
WIREASE LIMITED,,,,,Specified Premises,指明處所,29/11/2023
WIREBARLEY HONG KONG LIMITED,滙寶利香港有限公司,,,,Correspondence Address,通訊地址,29/11/2023
WISE PAYMENTS LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
WO TRANSFER (HK) LIMITED TRADING AS PANDAREMIT,熊貓速匯,,,,Correspondence Address,通訊地址,29/11/2023
WONG KA YIN KATHERINE TRADING AS UNIVERSAL COMPANY,黃家燕,,,,Specified Premises,指明處所,29/11/2023
WONG LEE TRADING AS TOKO ASIA MAKANAN ISTIMEWA,王莉 營業名稱 佳莉東南亞商店,,,,Specified Premises,指明處所,29/11/2023
WONG LONG KI TRADING AS PEARL RIVER REMINBI EXCHANGE CO.,黃朗棋 營業名稱 珠江人民幣找換行,,,,Specified Premises,指明處所,29/11/2023
WONG MAN FAI JOE TRADING AS MEGA TOKO INDONESIA,黃文輝,,,,Specified Premises,指明處所,29/11/2023
WONG WAI KIT TRADING AS YUEN HING EXCHANGE,王偉傑 營業名稱 源興找換,,,,Specified Premises,指明處所,29/11/2023
WONG YIN MEI TRADING AS SILVER TRADE,黃燕美 營業名稱 銀生行,,,,Specified Premises,指明處所,29/11/2023
WONG YING TRADING AS GRAND MONEY EXCHANGE,王莹 營業名稱 嘉亨找換店,,,,Specified Premises,指明處所,29/11/2023
WORLD FIRST ASIA LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
"WORLD PAYMENT SERVICE CO., LIMITED TRADING AS PAYTRADES",匯通國際支付服務有限公司,,,,Correspondence Address,通訊地址,29/11/2023
WORLD SMART TRADING LIMITED,永成貿易有限公司 營業名稱 永成匯,,永成匯,,Specified Premises,指明處所,29/11/2023
WUI SHEN HON INVESTMENT LIMITED,滙信行投資有限公司,WUI SHEN MONEY EXCHANGE,滙信找換行,,Specified Premises,指明處所,29/11/2023
XTRANSFER LIMITED,信匯寶有限公司,,,,Correspondence Address,通訊地址,29/11/2023
XU SHAOLING TRADING AS LEE YUEN RENMINBI EXCHANGE CO.,許少玲 營業名稱 利源人民幣找換行,,,,Specified Premises,指明處所,29/11/2023
YAN SAU FONG TRADING AS WIN WIN TRADING CO.,任秀芳 營業名稱 同盈貿易公司,,,,Specified Premises,指明處所,29/11/2023
YANG WAN LEE TRADING AS INDO TONG,楊環莉 營業名稱 印唐店,,,,Specified Premises,指明處所,29/11/2023
YEEWALLEX  HK LIMITED,易雲匯香港有限公司,,,,Correspondence Address,通訊地址,29/11/2023
YEUNG WING LOK TRADING AS WING FU CURRENCY EXCHANGE COMPANY,楊荣樂 營業名稱 永富兌換公司,WING FU CURRENCY EXCHANGE COMPANY,永富兌換公司,,Specified Premises,指明處所,29/11/2023
YEUNG WING LOK TRADING AS WING FU CURRENCY EXCHANGE COMPANY,楊荣樂 營業名稱 永富兌換公司,WING FU CURRENCY EXCHANGE COMPANY,永富兌換公司,,Specified Premises,指明處所,29/11/2023
YI FUNG (HK) LIMITED,億豐(香港)有限公司 營業名稱 新中華找換行,,新中華找換行,,Specified Premises,指明處所,29/11/2023
YI FUNG (HK) LIMITED,億豐(香港)有限公司 營業名稱 新中華找換行,,新中華找換行,,Specified Premises,指明處所,29/11/2023
YI FUNG (HK) LIMITED,億豐(香港)有限公司 營業名稱 新中華找換行,,中華人民幣找換行,,Specified Premises,指明處所,29/11/2023
YI FUNG (HK) LIMITED,億豐(香港)有限公司 營業名稱 新中華找換行,,新中華找換行,,Specified Premises,指明處所,29/11/2023
YI FUNG (HK) LIMITED,億豐(香港)有限公司 營業名稱 新中華找換行,,億豐人民幣找換,,Specified Premises,指明處所,29/11/2023
YIDA FINTECH SERVICE LIMITED TRADING AS YIDA MONEY EXCHANGE,壹達金融科技有限公司 營業名稱 壹達找換,YIDA,壹達找換,,Specified Premises,指明處所,29/11/2023
YIELD POINT TRADING LIMITED TRADING AS GINLEY EXCHANGE,裕邦貿易有限公司 營業名稱 金利找換,GINLEY EXCHANGE,金利找換,,Specified Premises,指明處所,29/11/2023
YIM CHI HUNG TRADING AS TOKO INDAH KENCANA,嚴志鴻 營業名稱 晴記,,,,Specified Premises,指明處所,29/11/2023
YING CHOI INTERNATIONAL EXCHANGE LIMITED,英財國際找換匯款有限公司,CHUNG YING REMITTANCE EXCHANGE,中英匯款找換,,Specified Premises,指明處所,29/11/2023
YING CHOI INTERNATIONAL EXCHANGE LIMITED,英財國際找換匯款有限公司,CHUNG YING REMINBI EXCHANGE CO,中英人民幣找換行,,Specified Premises,指明處所,29/11/2023
YING CHOI INTERNATIONAL EXCHANGE LIMITED,英財國際找換匯款有限公司,CHUNG YING REMITTANCE EXCHANGE,中英匯款找換,,Specified Premises,指明處所,29/11/2023
YING CHOI INTERNATIONAL EXCHANGE LIMITED,英財國際找換匯款有限公司,YING CHOI REMITTANCE EXCHANGE,英財匯款找換,,Specified Premises,指明處所,29/11/2023
YING GO INTERNATIONAL EXCHANGE LIMITED TRADING AS YING GO REMINBI EXCHANGE CO.,英高國際找換匯款有限公司 營業名稱 英高人民幣找換行,YING GO REMINBI EXCHANGE CO.,英高人民幣找換行,,Specified Premises,指明處所,29/11/2023
YING GO INTERNATIONAL EXCHANGE LIMITED TRADING AS YING GO REMINBI EXCHANGE CO.,英高國際找換匯款有限公司 營業名稱 英高人民幣找換行,YING GO REMINBI EXCHANGE CO.,英高人民幣找換行,,Specified Premises,指明處所,29/11/2023
YING JIA GLOBAL GROUP LIMITED,盈佳環球集團有限公司,,,,Correspondence Address,通訊地址,29/11/2023
YINSHENG E-PAY SERVICES (HONGKONG) LIMITED,銀盛支付服務(香港)有限公司,,,,Correspondence Address,通訊地址,29/11/2023
YIP CHIU FAI TRADING AS TOKO MAKMUR,葉照輝 營業名稱 印尼和諧店,,,,Specified Premises,指明處所,29/11/2023
YIP HING LIMITED TRADING AS YIP HING EXCHANGE,葉興有限公司 營業名稱 葉興找換,YIP HING EXCHANGE,葉興找換,,Specified Premises,指明處所,29/11/2023
YIP HING RMB EXCHANGE SHOP,葉興人民幣找換行,,,,Specified Premises,指明處所,29/11/2023
YIP KAM SHING RONALD TRADING AS GOLDSMITH CO,葉錦成 營業名稱 金匠行,,,,Specified Premises,指明處所,29/11/2023
YIP KIN FAI TRADING AS WING HING MONEY EXCHANGE CO,葉見輝 營業名稱 永興人民幣找換行,,,,Specified Premises,指明處所,29/11/2023
YIU HIU YUNG TRADING AS MATA HARI TOKO INDONESIA,饒曉蓉 營業名稱 僑陽東南亞特產食品,,,,Specified Premises,指明處所,29/11/2023
YIU HIU YUNG TRADING AS MATA HARI TOKO INDONESIA,饒曉蓉 營業名稱 僑陽東南亞特產食品,MATA HARI TOKO INDONESIA,僑陽東南亞特產食品,,Specified Premises,指明處所,29/11/2023
YOU YUAN (HONG KONG) CO LIMITED,有園（香港）有限公司,YOU YUAN (HONG KONG) CO LIMITED,有園(香港)有限公司,,Specified Premises,指明處所,29/11/2023
YOUTHFUL CAPITAL COMPANY LIMITED TRADING AS RICHLY MONEY EXCHANGE,裕瑞企業有限公司 營業名稱 新北江人民幣(外幣)找換行,,新北江人民幣(外幣)找換行,,Specified Premises,指明處所,29/11/2023
YOUTHFUL CAPITAL COMPANY LIMITED TRADING AS RICHLY MONEY EXCHANGE,裕瑞企業有限公司 營業名稱 新北江人民幣(外幣)找換行,PRINCE MONEY EXCHANGE SHOP,太子人民幣(外幣)找換店,,Specified Premises,指明處所,29/11/2023
