MLR_No,Period,Name_Eng,Name_Chi,Remarks
536,As at 31 October 2023,Hung Tak Finance Company Limited,鴻德財務有限公司,D
538,As at 31 October 2023,Bestcom Investment Limited,佳來投資有限公司,W
547,As at 31 October 2023,Ma Kwai Po Limited,馬桂波有限公司,W
554,As at 31 October 2023,Wingman Finance Limited,永銘財務有限公司,W
560,As at 31 October 2023,Wah Fung Money Lending Company,華豐貸款公司,D
579,As at 31 October 2023,Coinsberg Company,金銀山貸款公司,D
584,As at 31 October 2023,Hong Ling Company,康寧公司,D
610,As at 31 October 2023,Hing Wah Finance Company,興華財務公司,W
612,As at 31 October 2023,Artapala Finance & Investment Limited,豐禾財務投資有限公司,W
614,As at 31 October 2023,Pak Yik Finance & Investment Company Limited,百億財務投資有限公司,W
616,As at 31 October 2023,C B G Financial Investments Limited,行通金融投資有限公司,D
618,As at 31 October 2023,Ban Guan Finance (Hong Kong) Limited,萬源金融(香港)有限公司,W
620,As at 31 October 2023,N's Company Limited - The -,德安行有限公司,W
638,As at 31 October 2023,B.T. Foreign Investment Corporation,,W
648,As at 31 October 2023,Winkai Finance Limited,永佳財務有限公司,W
660,As at 31 October 2023,Acetop Limited,高耀有限公司,W
702,As at 31 October 2023,Sumisho Lease (Hong Kong) Limited,住商利巿(香港)有限公司,W
706,As at 31 October 2023,Leven Finance Far East Limited,,W
707,As at 31 October 2023,Anderman Credits Limited,安頓財務有限公司,D
748,As at 31 October 2023,Ping On Credit Limited,平安財務有限公司,D
755,As at 31 October 2023,Yip Ka Wah Financial Company,葉嘉華財務公司,W
759,As at 31 October 2023,Oro Finance And Investments (H.K.) Ltd.,,W
787,As at 31 October 2023,IBIC Holdings Limited,,D
789,As at 31 October 2023,Echo Line Investment Limited,,D
808,As at 31 October 2023,Ponica Investment Limited,寶力嘉投資有限公司,D
816,As at 31 October 2023,Samuel Funding Company,新美財務公司,D
846,As at 31 October 2023,South-East Asia Investment And Agency Company Limited,爪哇企業有限公司,W
855,As at 31 October 2023,Lombardo Enterprises Limited,,D
859,As at 31 October 2023,"Liu Chi Pang, Ronald",廖智鵬,W
872,As at 31 October 2023,Mansion Finance Company,萬勝財務公司,W
880,As at 31 October 2023,Primehill Credit Limited,吉兆信貸有限公司,D
885,As at 31 October 2023,Tradewealth Limited,,D
890,As at 31 October 2023,Beacons Finance Limited,恒光金融有限公司,D
917,As at 31 October 2023,Shun Fan Finance Company,信販財務公司,D
933,As at 31 October 2023,Ever Earn Finance Limited,永盈財務有限公司,D
950,As at 31 October 2023,Mei Kan Motors Limited,美勤汽車有限公司,W
956,As at 31 October 2023,"MCY Finance Limited, S. A.",,D
958,As at 31 October 2023,Currency Brokers (HK) Limited,財通(香港)有限公司,D
964,As at 31 October 2023,Le Bond Investment Company,利保投資公司,D
979,As at 31 October 2023,Southpac International Finance Limited,,D
983,As at 31 October 2023,Southpac Corporation Limited,,D
986,As at 31 October 2023,Cosland Company Limited,景確有限公司,W
992,As at 31 October 2023,Parker Finance Limited,興誠財務有限公司,W
993,As at 31 October 2023,Cross Finance Limited,,W
997,As at 31 October 2023,Sanadona Company Limited,中匯財務有限公司,D
1007,As at 31 October 2023,Charleswin Limited,齊榮金融有限公司,D
1028,As at 31 October 2023,Multilight Credit Limited,耀輝財務有限公司,D
1030,As at 31 October 2023,Parisco Finance Limited,華胤財務有限公司,D
1048,As at 31 October 2023,Mansion House International Limited,,W
1050,As at 31 October 2023,Ban Win Heng Co. Ltd.,萬運興有限公司,W
1052,As at 31 October 2023,Bonaluck Finance Limited,寶達財務有限公司,W
1055,As at 31 October 2023,Ontario Finance & Investment Co. Ltd.,安達利財務投資有限公司,W
1058,As at 31 October 2023,Kandor Finance Company,港通信用財務公司,W
1060,As at 31 October 2023,Golden Harvest Investment Company,金豐收投資公司,W
1068,As at 31 October 2023,Tai Fook Bullion (International) Limited,大福金融(國際)有限公司,W
1069,As at 31 October 2023,Tai Fook Futures (Hong Kong) Limited,大福期貨(香港)有限公司,W
1079,As at 31 October 2023,Hoarestott Finance Limited,好利得財務有限公司,D
1082,As at 31 October 2023,Island Finance Company,港島財務公司,D
1083,As at 31 October 2023,Sunrise Stocks Investment And Financial Consultant Company,旭日証券投資財務顧問公司,W
1104,As at 31 October 2023,Golden Star Monetary Limited,,W
1114,As at 31 October 2023,"STB Leasing (HK) CO., Limited",住信利市(香港)有限公司,D
1117,As at 31 October 2023,Hantec Securities Co,亨達証券公司,W
1134,As at 31 October 2023,Glandore Company Limited,,D
1137,As at 31 October 2023,CHM Finance (HK) Limited,中新財務(香港)有限公司,D
1142,As at 31 October 2023,Sogelease Hong Kong Limited,,W
1146,As at 31 October 2023,Henan Finance Company Limited,豫信財務有限公司,W
1148,As at 31 October 2023,Upbest Investment Company Limited,美建投資有限公司,W
1149,As at 31 October 2023,Cheung Yan Lung Stock Investment Co,張人龍股票投資公司,W
1157,As at 31 October 2023,M Holding Cosland (H.K.) Company Limited,景確集團(香港)有限公司,D
1170,As at 31 October 2023,BGL Finance (Asia) Limited,,W
1171,As at 31 October 2023,L & D Investment Limited,利達行財經貿易有限公司,W
1182,As at 31 October 2023,Parfirst Investments Limited,百冠投資有限公司,W
1191,As at 31 October 2023,Raygate Investments Limited,威基投資有限公司,W
1200,As at 31 October 2023,"JCG Finance Company, Limited",日本信用保証財務有限公司,W
1206,As at 31 October 2023,Hing Wong Nominee Company Limited,,D
1209,As at 31 October 2023,Green Success Limited,澳建有限公司,D
1213,As at 31 October 2023,Ample Rich Investments Limited,通財投資有限公司,D
1258,As at 31 October 2023,FNCB Financial Limited,萬國寶通財務有限公司,W
1270,As at 31 October 2023,Renvon Development Limited,錦翠發展有限公司,D
1274,As at 31 October 2023,Fu Ho Services Company,富豪服務公司,W
1295,As at 31 October 2023,Oriental Choice Limited,,W
1333,As at 31 October 2023,Kim Fung Company,勤豐公司,W
1359,As at 31 October 2023,Yew Wang Sum & Ng Shuk Bing,游宏森與吳淑冰,D
1388,As at 31 October 2023,Gold Apple Investment Ltd.,金蘋果投資有限公司,W
1389,As at 31 October 2023,Radiant Star Ltd.,盛星有限公司,W
1390,As at 31 October 2023,Queen Fine Investments Limited,均佳投資有限公司,W
1412,As at 31 October 2023,May Luen Finance Co.,美聯財務公司,W
1413,As at 31 October 2023,Celeca Development Limited,佳合發展有限公司,W
1414,As at 31 October 2023,Dragon Bridge Limited,龍僑有限公司,W
1415,As at 31 October 2023,Kenyork Development Limited,建友發展有限公司,W
1433,As at 31 October 2023,Kenen Investment Limited,堅南投資有限公司,W
1447,As at 31 October 2023,Pannox Limited,彭洛有限公司,W
1455,As at 31 October 2023,Kennington Finance & Investment Company Limited,鍵通金融投資有限公司,W
1458,As at 31 October 2023,United Wealth Finance Limited,,W
1470,As at 31 October 2023,FADB Resources (HK) Limited,第一亞銀集團(香港)有限公司,W
1480,As at 31 October 2023,DMT International Hong Kong Limited,大馬國際有限公司,W
1489,As at 31 October 2023,Good World Properties Limited,冠和置業有限公司,W
1524,As at 31 October 2023,World Ocean Finance Company Limited,世海財務有限公司,D
1533,As at 31 October 2023,Changsheng Finance Company Limited,昌盛財務有限公司,W
1552,As at 31 October 2023,Man Ying Finance Limited,萬鷹財務有限公司,W
1568,As at 31 October 2023,Avco Financial Services Limited,富高財務有限公司,W
1583,As at 31 October 2023,Kind Harvest Investment Limited,佳禾投資有限公司,D
1584,As at 31 October 2023,Oceanic Finance Company Limited,泛洋財務有限公司,W
1619,As at 31 October 2023,Hantec International Limited,,W
1620,As at 31 October 2023,Dollar (Pacific) Investment Limited,大來(亞太)投資有限公司,D
1631,As at 31 October 2023,D. J. (Holdings) Limited,申新聯合集團有限公司,W
1636,As at 31 October 2023,Hua Chang Electronics Company Limited,華長電子有限公司,D
1651,As at 31 October 2023,T & L Finance Limited,美多利財務有限公司,W
1658,As at 31 October 2023,Chinaland International (Finance) Limited,中建國際(財務)有限公司,D
1660,As at 31 October 2023,Profit Pace Development Limited,益禾發展有限公司,W
1671,As at 31 October 2023,Gold Coast Finance Limited,黃金海岸財務有限公司,W
1727,As at 31 October 2023,Wing Lung Credit Limited,永隆授信有限公司,W
1757,As at 31 October 2023,Kar Kuen Finance Limited,嘉權財務有限公司,D
1770,As at 31 October 2023,Oriental Finance Company,東方財務公司,D
1779,As at 31 October 2023,Strong Motion International Limited,,W
1785,As at 31 October 2023,Chung Hing Properties Finance Limited,中興物業財務有限公司,W
1798,As at 31 October 2023,Chan York Shui,陳玉瑞,W
1800,As at 31 October 2023,Harvest Media Investments Limited,豐毅投資有限公司,D
1809,As at 31 October 2023,Success Pacific Finance Limited,,D
1811,As at 31 October 2023,Tien Fung Hong Finance Limited,天豐行財務有限公司,W
1827,As at 31 October 2023,Santander Investment Securities Holdings (Asia) Limited,,W
1846,As at 31 October 2023,Strong Bases Finance Limited,森基財務有限公司,W
1849,As at 31 October 2023,Trender Finance Limited,昌達財務有限公司,W
1855,As at 31 October 2023,Peregrine Bullion Limited,百富勤金融有限公司,W
1872,As at 31 October 2023,Group Dragon Development Limited,協龍發展有限公司,D
1893,As at 31 October 2023,Transco Finance Company Limited,萬大財務有限公司,W
1935,As at 31 October 2023,Tonkai Investments Limited,同佳投資有限公司,W
1939,As at 31 October 2023,Wing Hang Credit Limited,永亨信用財務有限公司,W
1941,As at 31 October 2023,Kingview (Financial Consultants) Limited,景裕財務有限公司,W
1957,As at 31 October 2023,Jing Mei Travel & Trading Company Limited,真美旅遊貿易有限公司,W
1960,As at 31 October 2023,Kong Tai International Finance Company Limited,港泰國際財務有限公司,D
1967,As at 31 October 2023,Kent Brite Development Limited,添寶華發展有限公司,W
1973,As at 31 October 2023,Golden Park Limited,金百有限公司,W
1980,As at 31 October 2023,Gentle Investment Limited,正圖置業有限公司,W
2037,As at 31 October 2023,Tung Chun Finance Limited,同珍財務有限公司,W
2049,As at 31 October 2023,Donglin (China) Finance And Investment Company Limited,中國東林財務投資有限公司,W
2065,As at 31 October 2023,Jian Xing Finance Limited,建興財務有限公司,W
2077,As at 31 October 2023,Tung Lee Loy Holdings Limited,通利來集團有限公司,D
2115,As at 31 October 2023,Honnin Finance Hong Kong Limited,鴻興財務香港有限公司,D
2165,As at 31 October 2023,Tomahawk Capital Limited,東誠企業(香港)有限公司,W
2169,As at 31 October 2023,Chinese Fortune Investment Company Limited,華運通投資有限公司,W
2173,As at 31 October 2023,ELI Finance Company Limited,伊利財務有限公司,W
2189,As at 31 October 2023,McGary Network (H.K.) Limited,馬加利經貿(香港)有限公司,D
2209,As at 31 October 2023,Capital Resources Company Limited,嘉毅融資有限公司,W
2217,As at 31 October 2023,Tokyo Credit Co Limited,東京信貸有限公司,W
2242,As at 31 October 2023,Benrise International Limited,安財國際有限公司,W
2244,As at 31 October 2023,Hung Yat Finance Company Limited,鴻溢融資財務有限公司,W
2273,As at 31 October 2023,Liao Yang (HK) Development Limited,遼陽香港發展有限公司,W
2275,As at 31 October 2023,Dickman Finance Company Limited,狄克曼財務有限公司,W
2287,As at 31 October 2023,China Fame Finance Investment (HK) Limited,華榮(香港)金融財務投資有限公司,D
2289,As at 31 October 2023,Huayi (Hong Kong) Finance Co. Limited,華益(香港)金融財務有限公司,D
2303,As at 31 October 2023,Zhong Jian International (HK) Investment Financial Company Limited,中建國際(香港)投資財務有限公司,W
2306,As at 31 October 2023,Frankie Finance Limited,嘉利財務有限公司,W
2311,As at 31 October 2023,Score Summit Finance Limited,志信財務有限公司,W
2315,As at 31 October 2023,Xinda Finance Limited,新達財務有限公司,W
2324,As at 31 October 2023,Hollywood Finance Limited,荷利活財務有限公司,W
2325,As at 31 October 2023,Binnex Limited,富利達財務有限公司,W
2327,As at 31 October 2023,Billionlink Finance Company,億年財務公司,W
2329,As at 31 October 2023,Honest Win International Limited,鴻利國際企業有限公司,W
2332,As at 31 October 2023,Universal Honest Limited,粵開有限公司,D
2334,As at 31 October 2023,Hero Sun Holdings Limited,雄光集團有限公司,W
2349,As at 31 October 2023,World Wide Connection Credit Cards Limited,環球通信用咭有限公司,W
2356,As at 31 October 2023,Prosper eVision Finance Limited,盈盛財務有限公司,W
2358,As at 31 October 2023,Lik Sang (Wong's) Finance Company Limited,力生(王氏)財務有限公司,D
2366,As at 31 October 2023,Guangdong Finance Investments Limited,華信財務投資有限公司,W
2368,As at 31 October 2023,Trenway Development Limited,祥匯發展有限公司,W
2380,As at 31 October 2023,Time Faith Investment Limited,大信投資有限公司,W
2385,As at 31 October 2023,Globalway Development Limited,香港世業發展有限公司,W
2398,As at 31 October 2023,Fit Years Limited,旭年有限公司,W
2408,As at 31 October 2023,Alpha Finance Limited,亞華財務有限公司,W
2409,As at 31 October 2023,Certain Telecom Finance (H.K.) Limited,實信財務(香港)有限公司,W
2431,As at 31 October 2023,Master Good International Limited,豐迪國際有限公司,W
2448,As at 31 October 2023,BEII (DTC) Limited,,W
2463,As at 31 October 2023,Cheung Hung Financial Consultants Limited,長虹財務顧問有限公司,W
2495,As at 31 October 2023,Senior Home Limited,惠加先合有限公司,W
2502,As at 31 October 2023,Alkinson & Johnson Property Consultants Limited,專誠物業顧問有限公司,W
2505,As at 31 October 2023,Waywell Finance Limited,匯泰財務有限公司,W
2519,As at 31 October 2023,Avco Financial Services (Asia) Limited,富高財務（亞洲）有限公司,W
2526,As at 31 October 2023,Sheung Tung Finance Consultants Company Limited,相通財務有限公司,D
2536,As at 31 October 2023,May Creation Limited,俊銀有限公司,W
2540,As at 31 October 2023,Luen Fat Securities Company Limited,聯發証券有限公司,W
2554,As at 31 October 2023,Goldpass Investment Limited,溢通投資有限公司,D
2567,As at 31 October 2023,Wilshire Finance Company Limited,豐榮財務有限公司,W
2576,As at 31 October 2023,China Express Card Limited,滙通咭有限公司,W
2582,As at 31 October 2023,Winfaith Securities Limited,永得証券有限公司,W
2585,As at 31 October 2023,Isabela-Phil Finance,,W
2590,As at 31 October 2023,Southern Dragon Finance Limited,南天龍財務有限公司,W
2609,As at 31 October 2023,Wai Shun Garment Co. Limited,偉順製衣有限公司,W
2615,As at 31 October 2023,Goldrich Trading Limited,金富貿易有限公司,W
2624,As at 31 October 2023,ITM Hong Kong Holding Limited,,W
2630,As at 31 October 2023,Essence Rich Limited,盈德利有限公司,W
2637,As at 31 October 2023,Topwin Finance Limited,日昇財務有限公司,W
2642,As at 31 October 2023,Oriental Joy Investments Limited,凱麗投資有限公司,W
2671,As at 31 October 2023,Credible Finance Limited,超卓財務有限公司,W
2705,As at 31 October 2023,Dragonland Trading Limited trading as Dragonland Finance,生龍貿易有限公司經營生龍財務,W
2763,As at 31 October 2023,NPY Investment Limited,,W
2772,As at 31 October 2023,Elegance Investment Limited,雅翠投資有限公司,W
2797,As at 31 October 2023,Roofer Credits Limited,路華授信有限公司,D
2801,As at 31 October 2023,Wealth Growth (HK) Investment Limited,鴻茂香港投資有限公司,D
2802,As at 31 October 2023,Good Prospect Finance Limited,裕景財務有限公司,D
2809,As at 31 October 2023,Gain Faith Finance Limited,得信財務有限公司,D
2814,As at 31 October 2023,Maxwell Finance Limited,鉅泰財務有限公司,W
2825,As at 31 October 2023,AFG Asia Limited,,W
2833,As at 31 October 2023,Universal General (Hong Kong) Company Limited,友駿（香港）有限公司,W
2841,As at 31 October 2023,State China Finance Limited,及時雨財務有限公司,W
2844,As at 31 October 2023,Kumatei Japanese Restaurant Limited,熊亭日本料理有限公司,W
2849,As at 31 October 2023,Union Finance Limited,友聯財務有限公司,W
2850,As at 31 October 2023,Tiger Lui Finance Limited,雷老虎財務有限公司,W
2851,As at 31 October 2023,Aristotle Asia Limited,亞里士多德（亞洲）有限公司,W
2866,As at 31 October 2023,Yuet Choi Finance Company,悅財財務公司,W
2892,As at 31 October 2023,Mighty Finance (Hong Kong) Limited,聚富財務（香港）有限公司,W
2895,As at 31 October 2023,8 Finance Limited,8財務有限公司,W
2902,As at 31 October 2023,Stanford Capital Finance Limited,史丹福財務有限公司,W
2918,As at 31 October 2023,Novus Limited,,W
2920,As at 31 October 2023,168 Finance Limited,168財務有限公司,W
2922,As at 31 October 2023,Sun Glory Enterprises Limited,紅陽控股有限公司,W
2927,As at 31 October 2023,Bio-Treat Finance Limited,金迪財務有限公司,W
2942,As at 31 October 2023,Goldwich Financial (Asia) Co.,佳利信貸財務（亞洲）公司,W
2958,As at 31 October 2023,FGBC Finance Limited,,W
2960,As at 31 October 2023,BK Capital Limited,,W
2961,As at 31 October 2023,Asia Credit Finance Company Limited,亞太通信貸財務有限公司,W
2969,As at 31 October 2023,Krishi Premura Investments Limited,,W
2975,As at 31 October 2023,Future Best (Hong Kong) Limited,運高（香港）有限公司,W
2976,As at 31 October 2023,China Hong Kong Fund Express (1998) Credit Limited,中港銀通（１９９８）信貸有限公司,W
2978,As at 31 October 2023,Dah Sing Finance Limited,大新財務有限公司,W
2981,As at 31 October 2023,Orbrich (Hong Kong) International Factors Limited,灜寰東潤（香港）國際保理有限公司,W
2983,As at 31 October 2023,Golden Century Finance Company Limited,金元財務有限公司,W
2985,As at 31 October 2023,Weltin Finance Limited,滙添財務有限公司,W
3000,As at 31 October 2023,Star Credit Limited,星偉財務有限公司,W
3007,As at 31 October 2023,Union Gain Finance Limited,聯信財務有限公司,W
3020,As at 31 October 2023,Able Finance Group Limited,浩盈財務集團有限公司,W
3022,As at 31 October 2023,Giant Fair Finance Limited,信宏財務有限公司,W
3024,As at 31 October 2023,Amazing Sky Enterprise Limited,,W
3028,As at 31 October 2023,Max Vision Finance Limited,,W
3034,As at 31 October 2023,Credit 8 Finance Limited,信譽財務有限公司,W
3050,As at 31 October 2023,ABC Finance Limited,,W
3053,As at 31 October 2023,Luck Bloom International Limited,福隆國際有限公司,W
3055,As at 31 October 2023,Luen Ko Management Services Company,聯高管理服務公司,D
3059,As at 31 October 2023,Fortune Finance Company Limited,仁發財務有限公司,D
3062,As at 31 October 2023,GE Capital (Hong Kong) Limited,美國通用金融（香港）有限公司,W
3068,As at 31 October 2023,Alliance Global Capital Finance Limited,聯合環球資本財務有限公司,W
3082,As at 31 October 2023,International Finance Limited,國際財務有限公司,W
3090,As at 31 October 2023,Asia Wealth Finance Limited,亞洲創富財務有限公司,W
3091,As at 31 October 2023,Royal Mortgage Limited,匯豪按揭有限公司,W
3111,As at 31 October 2023,Soundwill Mortgage Finance Limited,金朝陽按揭財務有限公司,W
3117,As at 31 October 2023,Speed Wonder Limited,迅奇有限公司,W
3125,As at 31 October 2023,Allied Grand International Limited,鉅聯國際有限公司,W
3133,As at 31 October 2023,Asia Turbo International Limited,維寶國際有限公司,W
3138,As at 31 October 2023,Sino Best Investment Development Limited,中順投資發展有限公司,W
3140,As at 31 October 2023,Paramount Finance Co Limited,,W
3147,As at 31 October 2023,China Gold Finance Limited,中國金財務有限公司,W
3152,As at 31 October 2023,Hongkong Dragon Group Limited,香港蛟龍集團有限公司,W
3153,As at 31 October 2023,YFT Finance Company Limited,盈富泰財務有限公司,W
3162,As at 31 October 2023,Dickinson Avenue Investment Limited,,W
3163,As at 31 October 2023,ICG Finance Limited,,W
3167,As at 31 October 2023,Chance Finance Limited,滙機財務有限公司,W
3169,As at 31 October 2023,Silver Town Property Limited,銀城置業有限公司,W
3176,As at 31 October 2023,Pacific Ace Financial Company Limited,恒昌金融財務有限公司,W
3177,As at 31 October 2023,Dolberg Finance Limited,,W
3179,As at 31 October 2023,GMF Finance Limited,預資信貸有限公司,W
3191,As at 31 October 2023,Sunrise Finance Limited,駿昇財務有限公司,D
3195,As at 31 October 2023,Profit International Finance Company Limited,百利國際財務有限公司,W
3199,As at 31 October 2023,HXPM Holdings Limited,,W
3202,As at 31 October 2023,FWMH Finance & Investment Limited,漢一財務投資有限公司,W
3204,As at 31 October 2023,Eason Finance Limited,易信財務有限公司,W
3210,As at 31 October 2023,Lam Tek Holdings Limited,浩翰集團有限公司,W
3211,As at 31 October 2023,Keep Going (HK) Investment Company Limited,盈泰(香港)投資有限公司,W
3213,As at 31 October 2023,Shreejung Company,,W
3219,As at 31 October 2023,Way Go Finance Limited,匯財財務有限公司,W
3250,As at 31 October 2023,Honorfoil Finance Limited,福河財務有限公司,W
3251,As at 31 October 2023,GFP Capital (International) Limited,,W
3255,As at 31 October 2023,Sunshine Credit Service Limited,陽光信貸服務有限公司,W
3266,As at 31 October 2023,Corporate Capital Advisory Limited,企業融資顧問有限公司,W
3270,As at 31 October 2023,Evertech Finance Limited,永達財務有限公司,W
3274,As at 31 October 2023,Golden World (Private Equity) Company Limited,世黃（私慕）金界有限公司,W
3280,As at 31 October 2023,Easyway Finance Limited (MLR 3280),易通財務有限公司,W
3289,As at 31 October 2023,Billion Concept Finance Limited,創億財務有限公司,W
3291,As at 31 October 2023,Wealth Global Finance Limited,寶利來環球投資有限公司,W
3301,As at 31 October 2023,Yee On Finance Limited,怡安財務有限公司,W
3319,As at 31 October 2023,China Yongsheng Financial Asset Management Limited,中國永盛金融資產財務管理有限公司,W
3324,As at 31 October 2023,Gryphuz Asset Management Limited,尚明資產管理有限公司,W
3341,As at 31 October 2023,Carlo Garment Factory Limited,嘉璐製衣廠有限公司,W
3342,As at 31 October 2023,Promax Investment Hong Kong Limited,香港興邦譽德投資有限公司,W
3352,As at 31 October 2023,A.C. Finance Company Limited,興源財務有限公司,W
3356,As at 31 October 2023,Prime Happy Limited,欣本有限公司,W
3359,As at 31 October 2023,Sun Cheong Consultant (China) Limited,新昌顧問（中國）有限公司,W
3362,As at 31 October 2023,Kong Fook Finance Limited,廣福財務有限公司,W
3365,As at 31 October 2023,China Link Finance Company Limited,中祥財務有限公司,W
3368,As at 31 October 2023,Central World International Limited,中展國際有限公司,W
3373,As at 31 October 2023,Harmony Express Limited,聲池有限公司,W
3393,As at 31 October 2023,Dominant Finance Limited,敦富財務有限公司,W
3413,As at 31 October 2023,Gold Hong Kong United Finance Limited,金港財務有限公司,W
3416,As at 31 October 2023,Chi Yip Financial Consultants Company Limited,志業財務顧問有限公司,D
3421,As at 31 October 2023,Kin Wing Finance Limited,建榮財務有限公司,W
3427,As at 31 October 2023,Cheung Kee Sea Products Limited,祥記海產有限公司,W
3430,As at 31 October 2023,SAC Finance Company Limited,上聯財務責任有限公司,W
3432,As at 31 October 2023,Alim Prima Finance Limited,,W
3438,As at 31 October 2023,Asia Marine Yacht Services Limited,,W
3441,As at 31 October 2023,Horizon Management Asia Limited,,W
3456,As at 31 October 2023,Immi-Visa.Com International Property Agent Company Limited,天瑪仕國際地產有限公司,W
3463,As at 31 October 2023,Asia Line Limited,,W
3475,As at 31 October 2023,Digital Leader Holdings Limited,科傑集團有限公司,W
3480,As at 31 October 2023,Able Key Investment Limited,啟安投資有限公司,W
3490,As at 31 October 2023,Loyal Speed Limited,,W
3496,As at 31 October 2023,ET Finance Limited,易泰財務有限公司,W
3507,As at 31 October 2023,Billion Sun Mortgage Limited,億燊物業按揭有限公司,W
3509,As at 31 October 2023,Victory Credit Service Limited,華多利融資有限公司,W
3518,As at 31 October 2023,Golden Bright International Capital Limited,金輝國際資本有限公司,W
3522,As at 31 October 2023,Chinese Painting & Calligraphy Collection Investment Finance Limited,中國書畫收藏投資財務有限公司,W
3524,As at 31 October 2023,Prosperity Finance Limited,恒昌財務有限公司,W
3537,As at 31 October 2023,Hong Kong Union (Asia) Finance Limited,港聯（亞洲）財務有限公司,W
3539,As at 31 October 2023,"Guosen Securities (HK) Brokerage Company, Limited",國信證劵(香港)經紀有限公司,W
3544,As at 31 October 2023,Harvest Goal Limited,裕利高有限公司,W
3553,As at 31 October 2023,Ji Fa (H.K.) Holdings Limited,驥發(香港)控股有限公司,W
