Period,MLR_No,Licensee_Name_Eng,Licensee_Name_Chi,Hotline,Third_Party_Eng,Third_Party_Chi,Third_Party_Addr_Eng,Third_Party_Addr_Chi,Reg_Date
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,LEADING FIGURE PROPERTY AGENCY LIMITED ,領圖地產代理有限公司,"Unit 1901, 19/F, Prosperity Place, No.6 Shing Yip Street, Kwun Tong, KL",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,EASY PROPERTY SERVICES LIMITED ,置業易物業代理有限公司,"Unit A, 6/F, Century House, 3-4 Hanoi Road, Tsim Sha Tsui, KL",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,EC Mortgage Referral Company Limited ,按揭易有限公司,"Rm 1507, 15/F, Star House, 3 Salisbury Road, Tsim Sha Tsui",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,ARCH Gallery Limited ,門藝廊有限公司,"Shop 14, G/F, Golden Court, 22-52 Electric Road, Tin Hau, HK",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,Wing Fu Property Agent Limited ,永富物業代理有限公司,"Shop K4, G/F Lai Wan Bldg, 33-35 Shaukeiwan Road, Sai Wan Ho, HK",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,SIMPLE CREDIT LIMITED ,簡易信貸有限公司,"Flat/Rm 902A1, 9/F, Fourseas Building, No. 208-212 Nathan Road, Kowloon",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,Star Music Hong Kong Company,,,新界葵涌葵豐街18-26號永康工業大廈13樓D室,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,Smart Wealth Management Corporate Limited ,智信財富策劃管理有限公司,"Flat A5, 1/F., Mackenny Centre, 660-662 Castle Peak Road, Cheung Sha Wan, KL",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,DR. MORTGAGE BROKER LIMITED ,樓按博士按揭經紀有限公司,"15/F, Katherine House, Nos.53-55 Chatham Road South, Kowloon",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,GATTACA COMPANY LIMITED ,嘉恩悅有限公司,Unit 1603 16/F Tower 1 Silvercord 30 Canton Road Tsim Sha Tsui KL,,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,Thornton Consultants,,"Flat/Rm 5, 9/F, Lancashire Centre, 361 Shau Kei Wan Road, Shau Kei Wan",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,FORTUNE ASSETS SERVICES LIMITED ,恒富資產服務有限公司,"Room 2303-8, 23/F., Laford Centre, 838 Lai Chi Kok Road, Cheung Sha Wan, Kowloon.",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,TRUSTY CENTURY LIMITED ,信用世紀有限公司,"Office Unit 1101, 11th Floor, Ginza Plaza, No. 2A Sai Yeung Choi Street South, Kowloon",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,Best Leader Consultancy Limited ,佳領專業顧問有限公司,,觀塘巧明街111-113號富利廣場21樓2108室,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,Tyee Securities Limited ,天易證券有限公司,"Flat/Rm 2102, 21/F, Prosperity Tower, 39 Queen's Road Central, Central, Hong Kong",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,YANG FAN CORPORATE PLANNING LIMITED ,揚帆企業策劃有限公司,"Rm 1202, 12/F, Wan Chai Comm. Center, 194-204 Johnston Road, Wan Chai, Hong Kong",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,BF PROPERTIES ADVISORS LIMITED ,永豐置業諮詢有限公司,"Flat/Rm 1405, 14/F, Kenbo Commercial Building, 335-339 Queen's Road West, Hong Kong",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,MIGO CORPORATION LIMITED ,美高行有限公司,"Rm 404,Yu To Sang Building, 37 Queen's Road Central, Central, HK",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,Digital Resources Group Limited,資源數碼有限公司,"Rm A, 18/F, Lucky Plaza, 312-321 Lockhart Road, Wanchai, HK",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,OI WAH ENTERPRISES LIMITED ,靄華企業有限公司,"Rooms 2302-2303, 23/F, Kwan Chart Tower, 6 Tonnochy Road, Wanchai, HK",,1/4/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,Matt's Standard Company Limited ,名氏專業顧問有限公司,"No.2, G/F., Bamboo Court, No. 81 Castle Peak Road, San Hui, Tuen Mun, N.T., Hong Kong",,4/5/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,HopesFung (Hong Kong-Asia) Limited ,灝豐香港亞洲有限公司,,香港 九龍 旺角 亞皆老街109號 皆旺商業大廈22樓05-06室,29/6/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,Gutsy Mortgage Accounting Affairs Limited,吉時按揭會計事務所有限公司,"Unit B25, 5th Floor, East Sun Industrial Building, No.20 Shing Yip Street, Kwun Tong, Kowloon, Hong Kong",,6/8/2021
As at 12:00 noon of 3 January 2022 ,5945,2 Fortune Credit Limited,易豐信貸有限公司,2360 4888,PROFESSIONAL (INT'L) ASSET MANAGEMENT COMPANY LIMITED ,滙信(國際)資產管理有限公司,"Room A09, 19/F., Fortune Commercial Building, No.362, Sha Tsui Road, Tsuen Wan, N.T.",,9/12/2021
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,Chan Man Ho Evil,,"Flat C, 36/F, Block 1, Aria, 51 Fung Shing Street, Ngau Chi Wan, Kln",,4/12/2018
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,Star Music Hong Kong Company,,,新界葵涌葵豐街18-26號永康工業大廈13樓D室,4/12/2018
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,Thornton Consultants,,"Flat/Rm 5, 9/F, Lancashire Centre, 361 Shau Kei Wan Road, Shau Kei Wan",,4/12/2018
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,GATTACA COMPANY LIMITED ,嘉恩悅有限公司,Unit 1603 16/F Tower 1 Silvercord 30 Canton Road Tsim Sha Tsui KL,,4/12/2018
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,EASY GROUP WEALTH MANAGEMENT LIMITED ,易財富管理有限公司,"Office D-F, 23/F, No.8 Hart Avence, Tsim Sha Tsui, Kowloon",,4/12/2018
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,LEADING FIGURE PROPERTY AGENCY LIMITED ,領圖地產代理有限公司,"Unit 1901, 19/F, Prosperity Place, No.6 Shing Yip Street, Kwun Tong, KL",,4/12/2018
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,EASY PROPERTY SERVICES LIMITED ,置業易物業代理有限公司,"Unit A, 6/F, Century House, 3-4 Hanoi Road, Tsim Sha Tsui, KL",,4/12/2018
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,ARCH Gallery Limited ,門藝廊有限公司,"Shop 14, G/F, Golden Court, 22-52 Electric Road, Tin Hau, HK",,4/12/2018
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,Smart Wealth Management Corporate Limited ,智信財富策劃管理有限公司,"Flat A5, 1/F., Mackenny Centre, 660-662 Castle Peak Road, Cheung Sha Wan, Kowloon",,4/12/2018
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,DR. MORTGAGE BROKER LIMITED ,樓按博士按揭經紀有限公司,"15/F, Katherine House, Nos. 53-55 Chatham Road South, Kowloon",,4/12/2018
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,SIMPLE CREDIT LIMITED ,簡易信貸有限公司,"Flat/Rm 902A1, 9/F, Fourseas Building, No. 208-212 Nathan Road, Kowloon",,4/12/2018
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,Wing Fu Property Agent Limited ,永富物業代理有限公司,"Shop K4, G/F Lai Wan Bldg, 33-35 Shaukeiwan Road, Sai Wan Ho, HK",,4/12/2018
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,EC Mortgage Referral Company Limited ,按揭易有限公司,"Rm 1507, 15/F, Star House, 3 Salisbury Road, Tsim Sha Tsui",,4/12/2018
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,TRUSTY CENTURY LIMITED ,信用世紀有限公司,"Office Unit 1101, 11th Floor, Ginza Plaza, No. 2A Sai Yeung Choi Street South, Kowloon",,27/12/2018
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,FORTUNE ASSETS SERVICES LIMITED ,恒富資產服務有限公司,"Rm 2303-8, 23/F, Laford Centre, 838 Lai Chi Kok Road, Cheung Sha Wan, Kowloon",,27/12/2018
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,Tyee Securities Limited ,天易證券有限公司,"Flat/Rm 2102, 21/F, Prosperity Tower, 39 Queen's Road Central, Central, Hong Kong",,10/7/2019
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,Best Leader Consultancy Limited ,佳領專業顧問有限公司,,觀塘巧明街111-113號富利廣場21樓2108室,11/7/2019
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,YANG FAN CORPORATE PLANNING LIMITED ,揚帆企業策劃有限公司,"Rm 1202, 12/F, Wan Chai Comm. Center, 194-204 Johnston Road, Wan Chai, Hong Kong",,30/10/2019
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,BF PROPERTIES ADVISORS LIMITED ,永豐置業諮詢有限公司,"Flat/Rm 1405, 14/F, Kenbo Commercial Building, 335-339 Queen's Road West, Hong Kong",,5/12/2019
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,MIGO CORPORATION LIMITED ,美高行有限公司,"Rm 404,Yu To Sang Building, 37 Queen's Road Central, Central, HK",,10/6/2020
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,Digital Resources Group Limited,資源數碼有限公司,"Rm A, 18/F, Lucky Plaza, 312-321 Lockhart Road, Wanchai, HK",,19/6/2020
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,OI WAH ENTERPRISES LIMITED ,靄華企業有限公司,"Rm 2302-2303, 23/F, Kwan Chart Tower, 6 Tonnochy Road, Wanchai, HK",,12/11/2020
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,Matt's Standard Company Limited ,名氏專業顧問有限公司,"No.2, G/F., Bamboo Court, No. 81 Castle Peak Road, San Hui, Tuen Mun, N.T., Hong Kong",,4/5/2021
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,HopesFung (Hong Kong-Asia) Limited ,灝豐香港亞洲有限公司,,香港 九龍 旺角 亞皆老街109號 皆旺商業大廈22樓05-06室,29/6/2021
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,Gutsy Mortgage Accounting Affairs Limited,吉時按揭會計事務所有限公司,"Unit B25, 5th Floor, East Sun Industrial Building, No.20 Shing Yip Street, Kwun Tong, Kowloon, Hong Kong",,6/8/2021
As at 12:00 noon of 3 January 2022 ,5236,2 Money Limited,易盛錢有限公司,2360 4888,PROFESSIONAL (INT'L) ASSET MANAGEMENT COMPANY LIMITED ,滙信(國際)資產管理有限公司,"Room A09, 19/F., Fortune Commercial Building, No.362, Sha Tsui Road, Tsuen Wan, N.T.",,9/12/2021
As at 12:00 noon of 3 January 2022 ,3119,21 Finance Limited,２１財務有限公司,2810 8188,CENTURY 21 HONG KONG LIMITED ,世紀21香港有限公司,"ROOM 301-302, 3/F, NEW EAST OCEAN CENTRE, 9 SCIENCE MUSEUM ROAD, TSIM SHA TSUI EAST, KOWLOON",,6/12/2016
As at 12:00 noon of 3 January 2022 ,3119,21 Finance Limited,２１財務有限公司,2810 8188,Sparkling Pearl Company Limited ,福明珠有限公司,"UNIT C12, 2/F, POR MEE FACTORY BUILDING, NO. 500 CASTLE PEAK ROAD, KOWLLON",,13/12/2016
As at 12:00 noon of 3 January 2022 ,3119,21 Finance Limited,２１財務有限公司,2810 8188,KAWONG CONSULTANT LIMITED ,家旺顧問有限公司,"FLAT 6, 16/F, WEALTH COMMERCIAL CENTRE, NO. 48 KWONG WA STREET, KOWLOON",,13/12/2016
As at 12:00 noon of 3 January 2022 ,3119,21 Finance Limited,２１財務有限公司,2810 8188,PRIME HERO LIMITED ,金雄有限公司,"SUITE A, 21st Floor, ETON BUILDING, 288 DES VOEUX ROAD CENTRAL, HONG KONG",,13/12/2016
As at 12:00 noon of 3 January 2022 ,3119,21 Finance Limited,２１財務有限公司,2810 8188,SKY GLORY CONSULTANTS LIMITED ,恒耀顧問有限公司,"RM 703, 7/F, THE PHOENIX, NO. 23 LUARD ROAD, WAN CHAI, HONG KONG",,13/12/2016
As at 12:00 noon of 3 January 2022 ,3119,21 Finance Limited,２１財務有限公司,2810 8188,HMC Consultancy Limited ,家汶顧問有限公司,"FLAT 2, 11/F, WATERLOO PLAZA, NO. 53-55 WATERLOO ROAD, YAUMATEI, KOWLOON",,14/12/2016
As at 12:00 noon of 3 January 2022 ,3119,21 Finance Limited,２１財務有限公司,2810 8188,MYSP LIMITED ,筍盤有限公司,"SHOP 3, G/F, DRAGON COURT, 28 CAINE ROAD, HONG KONG",,26/2/2019
As at 12:00 noon of 3 January 2022 ,3119,21 Finance Limited,２１財務有限公司,2810 8188,MAJOR FORTUNE CORPORATION LIMITED ,壤溢集團有限公司,"Flat 2605, 26/F, The Galaxy, 313 Castle Peak Road, Kwai Chung, N.T.",,23/1/2020
As at 12:00 noon of 3 January 2022 ,5604,228 Finance Limited,易易發財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5329,28 Credit Limited,28 信貸有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5399,28 Loan Company Limited,易發財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,3701 3333,TRUSTY CENTURY LIMITED ,信用世紀有限公司,FLAT/RM 1101 11/F GINZA PLAZA NO.2A SAI YEUNG CHOI STREET SOUTH KL,,8/8/2017
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,Kapital Oasis Management Limited ,博達策劃管理有限公司,,九龍旺角彌敦道573號富運商業中心11樓B室,18/8/2017
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,3701 3333,SINCERE INTERNATIONAL CONSULTANTS LIMITED ,柏鍵國際顧問有限公司,FLAT/RM 502A 5/F MARY BUILDING 71-77 PEKING ROAD TSIM SHA TSUI KL,,8/9/2017
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,3701 3333,MASTER GROUP ENTERPRISE CO. LIMITED ,萬事達企業策劃有限公司,FLAT/RM 2619 BKL 1 26/F MILLENNIUM CITY 1 388 KWUN TONG ROAD KWUN TONG,,22/9/2017
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,3701 3333,GL BUSINESS CONSULTANCY LIMITED ,計霖工商顧問有限公司,"FLAT/RM M, 17/F, UNIVERSAL IND CTR, 19-25 SHAN MEI ST, FOTAN, N.T.",,17/10/2017
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,3701 3333,EXTRA LIMITED,,FLAT /RM 2202 22/F TRENDY CENTRE 682 CASTLE PEAK ROAD CHEUNG SHA WAN KL,,17/10/2017
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,3701 3333,CREATIVE IDEOLOGY PROPERTY AGENCY LIMITED ,創維物業代理有限公司,FLAT/RM 07-08 HING YIP COMMERCIAL CENTRE 272-284 DES VOEUX ROAD CENTRAL SHEUNG WAN HK,,8/11/2017
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,3701 3333,EIGHTY DEVELOPMENT COMPANY,捌十發展公司,FLAT/RM 04 07/F HO KING COMMERCIAL CENTRE 2-16 FA YUEN STREET MONG KOK KL,,8/11/2017
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,3701 3333,YIM KAR MING,嚴嘉銘,"RM 1811, TIN MING HSE, TIN PING EST, SHEUNG SHUI, NT",,21/11/2017
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,3701 3333,MARLBO CONSULTANCY & ACCOUNTING COMPANY LIMITED ,萬寶顧問及會計有限公司,,九龍長沙灣永康街77號環薈中心11樓9室,1/2/2018
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,Lokson Sumptuous Asset Limited ,諾信豐盛資產有限公司,FLAT/RM 1501A 15/F TOWER 1 CHINA HONG KONG CITY 33 CANTON ROAD TSIM SHA TSUI KL,,1/2/2018
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,3701 3333,MYCHOICES MORTGAGE SOLUTIONS (HK) LIMITED ,焯檢信貸策劃有限公司,FLAT/RM 1-2 7/F HERMES COMMERCIAL CENTRE NO.4 HILLWOOD ROAD TSIM SHA TSUI KL,,22/2/2018
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,Yu Kai On,余啟安,1/F 98 SAN HUI VILLAGE TUEN MUN NT,,12/6/2018
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,EIGHTY CONSULTANT CO,捌十顧問公司,FLAT/RM 1005 10/F KOWLOON BLDG 555 NATHAN RD YAU MA TEI,,2/8/2018
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,3701 3333,HONOR C I S,匡裕工商鋪,1/F 126 MA KWU LAM SAI SHA ROAD SAI KUNG NT,,17/8/2018
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,One & Only Connection Service Company Limited ,唯一配對策劃有限公司,Unit 2 Rm 1109 (D) BLK 2 Enterprise Square 9 Sheung Yuet Rd Kowloon Bay Hong Kong,,17/8/2018
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,PANDA INFORMATION LIMITED ,熊貓資訊有限公司,RM 3205 CLIFFORD CENTRE 778-784 CHEUNG SHA WAN RD CHEUNG SHA WAN KOWLOON HONG KONG ,,23/8/2018
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,Lam Cho Kit,林祖傑,FLAT E 31/F BLOCK 5 23 YAT MING ROAD DAWNING VIEWS FANLING NEW TERRITORIES,,4/9/2018
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,MA CHI WA,馬志樺,RM 3403 SHUI MOON HSE TIN SHUI EST TIN SHUI WAI NT,,22/10/2018
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,GRAND KEEN INVESTMENT LIMITED ,廣銳投資有限公司,FLAT/RM 503 5/F PARK TOWER 15 AUSTIN ROAD JORDAN KL,,29/1/2019
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,NET EXPRESS LIMITED,網通有限公司,FLAT/RM 1 BLK D 07/F MERLIN CTR 65 PO ON ROAD CHEUNG SHA WAN KL,,7/3/2019
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,ANDISON FINANCIAL CONSULTANCY LIMITED ,廷豐企業融資顧問有限公司,G/F 117A WUHU STREET HUNG HOM KL,,25/3/2019
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,Lam Ting Fung Andy,林霆鋒,FLAT B 7/F BLOCK 2 WHAMPOA GARDEN SITE 3 HUNG HOM HONG KONG,,25/3/2019
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,LUCKY TRADING COMPANY,樂其貿易公司,FLAT/RM 928 9/F STAR HOUSE 3 SALISBURY ROAD TSIM SHA TSUI KL,,11/4/2019
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,GLOBAL HERTZ CONSULTANCY COMPANY LIMITED ,高迅顧問有限公司,"FLAT B, 4/F, BLK 5, GREENFIELD GARDEN, NO. 1 FUNG SHUE WO RD, TSING YI, NT",,14/6/2019
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,Gold Shine Enterprise Co.,金炫企業顧問,ROOM 1605 LANDWIDE BUILDING 118-120 AUSTIN ROAD TSIM SHA TSUI KL,,12/6/2020
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,HOPEKINS INTERNATIONAL LIMITED,鎬勤有限公司,FLAT/RM A 12/F SOUTHGATE COMMERCIAL CENTRE 29 GRANVILLE ROAD TSIM SHA TSUI KL,,17/8/2020
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,EMWCSL ADVISORY SERVICES LIMITED,楠釧咨詢服務有限公司,FLAT A 4/F WING YEE COMM BLDG 3-7 WING KUT ST CENTRAL HK,,31/8/2020
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,Komma Development Limited ,正點創展有限公司,FLAT/RM 910 9/F HARBOUR CRYSTAL CENTRE 100 GRANVILLE ROAD TST KL,,2/9/2020
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,So Hok Yin,蘇學賢,FLAT B 2/F BLOCK 2 19 TING KOK ROAD FULL SCENE GARDEN TAI PO NEW TERRITORIES,,2/9/2020
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,Yung Tsz Chung,容子聰,RM 207 2/F CHEUNG YAM HSE ON YAM EST KWAI CHUNG NEW TERRITORIES,,8/9/2020
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,Deluxe Asia Company,豐盛亞洲公司,,九龍觀塘偉業街茂興工業大廈9樓B3室,4/11/2020
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,Bright Mortgage Service Limited,睿新按揭服務有限公司,FLAT/RM 501 5/F BELGIAN BANK BUILDING NO. 721-725 NATHAN ROAD MONG KOK KL,,4/11/2020
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,Man Wai Cheung Peter,文蔚翔,FLT G 5/F BLK 6 WHAMPOA GARDEN SITE 3 120 BARKER ST,,13/11/2020
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,Zero Free Mortgage Platform Limited,零收費按揭配對平台有限公司,UNIT 509-10 5/F HOPE SEA IND CENTRE 26 LAM HING STREET KOWLOON BAY,,7/12/2020
As at 12:00 noon of 3 January 2022 ,4116,3 Sing Credit Limited,三昇信貸有限公司,2957 0105,TSANG FUK CHUEN HENRY,曾福全,FLAT C 9/F CHEONG WAH COMMERCIAL BUILDING 900-904 CANTON ROAD MONG KOK KOWLOON,,7/12/2020
